Pagina,Nome,Versao,Ano,Quilometragem,Cidade,Preco,Preco_Limpo,KM_Limpo,Ano_Modelo
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2020/2021,78.000 Km,São Paulo (SP),R$ 139.890,139890,78000,2021
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2022/2023,34.000 Km,São Paulo (SP),R$ 194.890,194890,34000,2023
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2026/2026,0 Km,São Paulo (SP),R$ 209.010,209010,0,2026
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2022/2023,75.115 Km,São Paulo (SP),R$ 149.990,149990,75115,2023
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2026/2026,0 Km,São Paulo (SP),R$ 206.120,206120,0,2026
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2019/2020,77.000 Km,São Paulo (SP),R$ 149.990,149990,77000,2020
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2023/2023,49.000 Km,São Paulo (SP),R$ 199.900,199900,49000,2023
1,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct s...,2025/2025,5.300 Km,Ribeirão Preto (SP),R$ 182.999,182999,5300,2025
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2025/2025,9.000 Km,Vinhedo (SP),R$ 188.900,188900,9000,2025
1,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,57.179 Km,Ribeirão Preto (SP),R$ 129.590,129590,57179,2023
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2021/2022,61.293 Km,Barueri (SP),R$ 138.900,138900,61293,2022
1,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct shift,2025/2025,5.300 Km,Ribeirão Preto (SP),R$ 182.999,182999,5300,2025
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2022/2023,66.000 Km,São Paulo (SP),R$ 195.890,195890,66000,2023
1,TOYOTA COROLLA,1.8 gli upper 16v flex 4p aut...,2015/2016,99.000 Km,São José dos Campos (SP),R$ 79.000,79000,99000,2016
1,TOYOTA COROLLA,2.0 vvt-ie flex altis premium direct shift,2025/2025,20.000 Km,São Paulo (SP),R$ 185.890,185890,20000,2025
1,TOYOTA COROLLA,2.0 altis 16v flex 4p automático,2015/2016,110.000 Km,São José dos Campos (SP),R$ 87.990,87990,110000,2016
1,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2024,18.106 Km,São Bernardo do Campo (SP),R$ 148.889,148889,18106,2024
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis cvt,2019/2020,116.776 Km,Barueri (SP),R$ 119.900,119900,116776,2020
1,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2017/2018,102.000 Km,São Paulo (SP),R$ 95.900,95900,102000,2018
1,TOYOTA COROLLA,1.8 gli upper 16v flex 4p automático,2015/2016,99.000 Km,São José dos Campos (SP),R$ 79.000,79000,99000,2016
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2024/2024,31.200 Km,São Paulo (SP),R$ 159.890,159890,31200,2024
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2023/2024,79.813 Km,São Paulo (SP),R$ 164.790,164790,79813,2024
1,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2025/2025,18.000 Km,Piracicaba (SP),R$ 139.900,139900,18000,2025
1,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2024/2024,31.200 Km,São Paulo (SP),R$ 159.890,159890,31200,2024
1,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2023/2024,79.813 Km,São Paulo (SP),R$ 164.790,164790,79813,2024
1,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,109.518 Km,São José dos Campos (SP),R$ 126.900,126900,109518,2023
1,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2020/2021,101.000 Km,São José dos Campos (SP),R$ 117.890,117890,101000,2021
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2020/2021,22.599 Km,Mauá (SP),R$ 158.900,158900,22599,2021
2,TOYOTA COROLLA,2.0 xrs 16v flex 4p automático,2018/2019,85.000 Km,Limeira (SP),R$ 102.880,102880,85000,2019
2,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2017/2018,99.000 Km,Barueri (SP),R$ 109.900,109900,99000,2018
2,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis cvt,2019/2020,147.065 Km,Matão (SP),R$ 126.000,126000,147065,2020
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,36.174 Km,Bauru (SP),R$ 139.990,139990,36174,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct s...,2023/2024,80.700 Km,Salto (SP),R$ 161.900,161900,80700,2024
2,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2015/2016,139.000 Km,Sorocaba (SP),R$ 84.900,84900,139000,2016
2,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2016/2017,53.300 Km,São Paulo (SP),R$ 89.300,89300,53300,2017
2,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct shift,2023/2024,80.700 Km,Salto (SP),R$ 161.900,161900,80700,2024
2,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2016/2017,59.400 Km,São Paulo (SP),R$ 100.000,100000,59400,2017
2,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2010/2011,193.000 Km,São Paulo (SP),R$ 61.000,61000,193000,2011
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,83.166 Km,Limeira (SP),R$ 131.190,131190,83166,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,88.632 Km,Limeira (SP),R$ 131.090,131090,88632,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2022,54.946 Km,Campinas (SP),R$ 126.490,126490,54946,2022
2,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2014/2015,147.000 Km,Indaiatuba (SP),R$ 85.900,85900,147000,2015
2,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2023/2023,47.068 Km,Campinas (SP),R$ 122.690,122690,47068,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2023,51.000 Km,Sorocaba (SP),R$ 131.500,131500,51000,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,55.713 Km,Campinas (SP),R$ 136.990,136990,55713,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2022,81.995 Km,Campinas (SP),R$ 123.900,123900,81995,2022
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2023,73.240 Km,Campinas (SP),R$ 159.900,159900,73240,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2023,81.324 Km,Campinas (SP),R$ 131.890,131890,81324,2023
2,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2020/2021,93.000 Km,São Paulo (SP),R$ 130.000,130000,93000,2021
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,41.000 Km,Catanduva (SP),R$ 135.900,135900,41000,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,57.816 Km,São Paulo (SP),R$ 131.190,131190,57816,2022
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,24.460 Km,São Paulo (SP),R$ 143.590,143590,24460,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2023,12.000 Km,Mogi Mirim (SP),R$ 147.290,147290,12000,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2022/2023,71.420 Km,Piracicaba (SP),R$ 145.900,145900,71420,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,52.864 Km,São Carlos (SP),R$ 137.290,137290,52864,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,52.277 Km,Santo André (SP),R$ 134.990,134990,52277,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2022/2023,71.420 Km,Piracicaba (SP),R$ 145.900,145900,71420,2023
2,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2023/2023,60.300 Km,Mogi das Cruzes (SP),R$ 145.990,145990,60300,2023
2,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2020/2021,93.000 Km,São Paulo (SP),R$ 130.000,130000,93000,2021
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,72.537 Km,São José dos Campos (SP),R$ 131.900,131900,72537,2023
2,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2014/2015,130.476 Km,São Bernardo do Campo (SP),R$ 82.900,82900,130476,2015
2,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2023/2024,39.000 Km,São José dos Campos (SP),R$ 168.900,168900,39000,2024
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2024,83.885 Km,Mauá (SP),R$ 135.390,135390,83885,2024
2,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2014/2015,118.000 Km,São José do Rio Preto (SP),R$ 85.900,85900,118000,2015
2,TOYOTA COROLLA,1.8 se-g 16v flex 4p automático,2009/2010,221.164 Km,São Bernardo do Campo (SP),R$ 58.900,58900,221164,2010
2,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2023/2023,60.300 Km,Mogi das Cruzes (SP),R$ 145.990,145990,60300,2023
2,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2021/2022,88.236 Km,São Paulo (SP),R$ 109.790,109790,88236,2022
2,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct s...,2021/2022,44.000 Km,São Paulo (SP),R$ 128.000,128000,44000,2022
2,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2024,49.000 Km,São Paulo (SP),R$ 139.800,139800,49000,2024
2,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2021/2022,79.000 Km,São Paulo (SP),R$ 111.900,111900,79000,2022
2,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2023/2024,42.000 Km,Americana (SP),R$ 164.990,164990,42000,2024
2,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct shift,2021/2022,44.000 Km,São Paulo (SP),R$ 128.000,128000,44000,2022
2,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2023/2024,39.000 Km,São José dos Campos (SP),R$ 168.900,168900,39000,2024
2,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2023/2024,42.000 Km,Americana (SP),R$ 164.990,164990,42000,2024
3,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2012/2013,126.850 Km,Sumaré (SP),R$ 68.900,68900,126850,2013
3,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2015/2016,139.100 Km,Osasco (SP),R$ 77.900,77900,139100,2016
3,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2012/2013,101.000 Km,Suzano (SP),R$ 70.900,70900,101000,2013
3,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2016/2017,67.900 Km,Franca (SP),R$ 119.000,119000,67900,2017
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2025/2025,6.500 Km,Osasco (SP),R$ 159.900,159900,6500,2025
3,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2019/2020,74.000 Km,Franca (SP),R$ 134.900,134900,74000,2020
3,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2021/2022,49.257 Km,Araras (SP),R$ 117.000,117000,49257,2022
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2025/2025,2.000 Km,Jundiaí (SP),R$ 169.900,169900,2000,2025
3,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2018/2018,87.700 Km,São Paulo (SP),R$ 87.900,87900,87700,2018
3,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2015/2016,69.000 Km,São Paulo (SP),R$ 81.000,81000,69000,2016
3,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2018/2018,105.544 Km,Jundiaí (SP),R$ 102.990,102990,105544,2018
3,TOYOTA COROLLA,1.8 gli upper 16v flex 4p aut...,2019/2019,101.000 Km,Atibaia (SP),R$ 94.990,94990,101000,2019
3,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2024/2024,15.600 Km,Barueri (SP),R$ 169.900,169900,15600,2024
3,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2014/2015,121.000 Km,São Paulo (SP),R$ 82.000,82000,121000,2015
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2024,31.534 Km,Jundiaí (SP),R$ 149.990,149990,31534,2024
3,TOYOTA COROLLA,1.8 xei 16v flex 4p automático,2008/2009,167.000 Km,Guarulhos (SP),R$ 53.900,53900,167000,2009
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2024,25.000 Km,Campinas (SP),R$ 144.000,144000,25000,2024
3,TOYOTA COROLLA,1.8 se-g 16v flex 4p automático,2009/2010,190.000 Km,São Paulo (SP),R$ 59.900,59900,190000,2010
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2024,19.000 Km,Valinhos (SP),R$ 144.900,144900,19000,2024
3,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct s...,2023/2024,26.000 Km,Campinas (SP),R$ 162.990,162990,26000,2024
3,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2021/2022,79.000 Km,São Paulo (SP),R$ 139.900,139900,79000,2022
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2020/2021,55.000 Km,São Paulo (SP),R$ 179.000,179000,55000,2021
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,34.271 Km,São Paulo (SP),R$ 124.900,124900,34271,2022
3,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct s...,2021/2022,58.000 Km,São Paulo (SP),R$ 135.990,135990,58000,2022
3,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2024/2024,15.600 Km,Barueri (SP),R$ 169.900,169900,15600,2024
3,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct shift,2023/2024,26.000 Km,Campinas (SP),R$ 162.990,162990,26000,2024
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2025,12.852 Km,São Paulo (SP),R$ 163.800,163800,12852,2025
3,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2010/2011,199.000 Km,Santo André (SP),R$ 59.500,59500,199000,2011
3,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2021/2022,69.127 Km,Guarulhos (SP),R$ 143.990,143990,69127,2022
3,TOYOTA COROLLA,2.0 vvt-ie flex gr-s direct shift,2021/2022,58.000 Km,São Paulo (SP),R$ 135.990,135990,58000,2022
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,34.000 Km,Araraquara (SP),R$ 134.900,134900,34000,2023
3,TOYOTA COROLLA,1.8 gli upper 16v flex 4p automático,2019/2019,101.000 Km,Atibaia (SP),R$ 94.990,94990,101000,2019
3,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2021/2022,79.000 Km,São Paulo (SP),R$ 139.900,139900,79000,2022
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2025/2025,9.000 Km,Guaratinguetá (SP),R$ 163.890,163890,9000,2025
3,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2019/2020,74.000 Km,Franca (SP),R$ 134.900,134900,74000,2020
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2024,22.000 Km,Guaratinguetá (SP),R$ 147.990,147990,22000,2024
3,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2016/2017,107.000 Km,Campos do Jordão (SP),R$ 92.000,92000,107000,2017
3,TOYOTA COROLLA,1.8 gli upper 16v flex 4p aut...,2015/2016,147.000 Km,Ribeirão Preto (SP),R$ 82.900,82900,147000,2016
3,TOYOTA COROLLA,1.8 gli 16v flex 4p manual,2010/2011,240.358 Km,São Bernardo do Campo (SP),R$ 59.990,59990,240358,2011
3,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2013/2013,139.300 Km,São Caetano do Sul (SP),R$ 67.900,67900,139300,2013
3,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2021/2022,69.127 Km,Guarulhos (SP),R$ 143.990,143990,69127,2022
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2020/2020,68.070 Km,Bragança Paulista (SP),R$ 119.990,119990,68070,2020
3,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2018/2019,86.000 Km,São José dos Campos (SP),R$ 107.900,107900,86000,2019
3,TOYOTA COROLLA,1.8 gli upper 16v flex 4p automático,2015/2016,147.000 Km,Ribeirão Preto (SP),R$ 82.900,82900,147000,2016
3,TOYOTA COROLLA,2.0 xrs 16v flex 4p automático,2018/2019,85.000 Km,Atibaia (SP),R$ 96.400,96400,85000,2019
3,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2023/2024,19.438 Km,São José dos Campos (SP),R$ 167.900,167900,19438,2024
3,TOYOTA COROLLA,2.0 xrs 16v flex 4p automático,2017/2018,122.800 Km,São José do Rio Preto (SP),R$ 103.900,103900,122800,2018
3,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2018/2019,129.200 Km,Sorocaba (SP),R$ 99.305,99305,129200,2019
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2020/2021,65.153 Km,São Bernardo do Campo (SP),R$ 120.000,120000,65153,2021
3,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2016/2017,177.000 Km,Sorocaba (SP),R$ 80.000,80000,177000,2017
3,TOYOTA COROLLA,2.0 vvt-ie flex altis premium...,2025/2025,21.859 Km,Barueri (SP),R$ 192.950,192950,21859,2025
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,88.280 Km,Campinas (SP),R$ 119.990,119990,88280,2022
3,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2024,52.101 Km,Araraquara (SP),R$ 137.890,137890,52101,2024
3,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis premium cvt,2023/2024,19.438 Km,São José dos Campos (SP),R$ 167.900,167900,19438,2024
3,TOYOTA COROLLA,2.0 vvt-ie flex altis premium direct shift,2025/2025,21.859 Km,Barueri (SP),R$ 192.950,192950,21859,2025
4,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2016/2016,91.000 Km,Osasco (SP),R$ 82.900,82900,91000,2016
4,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2014/2015,108.658 Km,Avaré (SP),R$ 79.990,79990,108658,2015
4,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2016/2017,103.000 Km,Avaré (SP),R$ 85.900,85900,103000,2017
4,TOYOTA COROLLA,1.8 xei 16v flex 4p automático,2009/2010,168.000 Km,Santos (SP),R$ 57.890,57890,168000,2010
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2026/2026,0 Km,São Paulo (SP),R$ 169.890,169890,0,2026
4,TOYOTA COROLLA,2.0 xrs 16v flex 4p automático,2012/2013,179.000 Km,Barueri (SP),R$ 71.000,71000,179000,2013
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2025/2025,17.832 Km,Bauru (SP),R$ 166.900,166900,17832,2025
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2020/2021,93.000 Km,Franca (SP),R$ 124.900,124900,93000,2021
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2020/2021,57.000 Km,Santos (SP),R$ 128.790,128790,57000,2021
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,71.000 Km,Franca (SP),R$ 131.900,131900,71000,2023
4,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis cvt,2020/2020,84.647 Km,Campinas (SP),R$ 126.990,126990,84647,2020
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2024/2024,28.699 Km,Jundiaí (SP),R$ 144.690,144690,28699,2024
4,TOYOTA COROLLA,2.0 xei 16v flex 4p automático,2017/2018,128.000 Km,São Paulo (SP),R$ 102.075,102075,128000,2018
4,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2024/2024,36.971 Km,Sorocaba (SP),R$ 127.900,127900,36971,2024
4,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis cvt,2023/2024,48.343 Km,São Paulo (SP),R$ 164.900,164900,48343,2024
4,TOYOTA COROLLA,2.0 vvt-ie flex altis premium...,2025/2025,1.558 Km,São Paulo (SP),R$ 275.000,275000,1558,2025
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2019/2020,60.726 Km,Sorocaba (SP),R$ 127.900,127900,60726,2020
4,TOYOTA COROLLA,2.0 vvt-ie flex altis direct ...,2020/2021,87.733 Km,Americana (SP),R$ 133.900,133900,87733,2021
4,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2017/2017,123.589 Km,Santo André (SP),R$ 88.790,88790,123589,2017
4,TOYOTA COROLLA,2.0 vvt-ie flex gli direct shift,2024/2024,44.214 Km,São Paulo (SP),R$ 125.880,125880,44214,2024
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,55.357 Km,São Paulo (SP),R$ 164.900,164900,55357,2023
4,TOYOTA COROLLA,1.8 gli 16v flex 4p automático,2017/2017,109.060 Km,Santo André (SP),R$ 88.790,88790,109060,2017
4,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2025/2025,22.912 Km,São Paulo (SP),R$ 184.890,184890,22912,2025
4,TOYOTA COROLLA,1.8 vvt-i hybrid flex altis p...,2023/2023,68.522 Km,São Paulo (SP),R$ 151.990,151990,68522,2023
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2021/2022,57.484 Km,São Paulo (SP),R$ 132.000,132000,57484,2022
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2022/2023,40.640 Km,São Paulo (SP),R$ 138.290,138290,40640,2023
4,TOYOTA COROLLA,2.0 vvt-ie flex altis direct shift,2020/2021,87.733 Km,Americana (SP),R$ 133.900,133900,87733,2021
4,TOYOTA COROLLA,2.0 vvt-ie flex xei direct shift,2023/2024,29.000 Km,Santo André (SP),R$ 197.900,197900,29000,2024
4,TOYOTA COROLLA,1.8 gli upper 16v flex 4p aut...,2019/2019,107.346 Km,Santo André (SP),R$ 98.790,98790,107346,2019
